"Order tracking","تتبع الشحنة"
"<p>Dear valuable customer please contact us via <span style="color: #25D366">WhatsApp</span> <a href="https://wa.me/966570001626/?text=Hello"  target="_blank">966570001626</a> & Kindly Provide us with your correct mobile number / order number so we can be able to deliver your order</p>","عزيزي العميل ، يرجى التواصل معنا عبرالواتس اب +966570001626 ، وتزويدنا برقم هاتفك الجوال مع رقم الطلبية حتى نتمكن من توصيل طلبك"
"The order was returned because the customer did not receive the order from the shipping company","الطلب رجع ل عدم استلام الطلبية العميل من شركة الشحن"
"<p>Order is on hold</p>","الطلب معلق"
"<p>Order has been canceled</p>","الطلب ملغي"
"<p>order pending</p>","الطلب معلق"
"<p>The order was returned because the customer did not receive the order from the shipping company</p>","الطلب رجع ل عدم استلام الطلبية العميل من شركة الشحن"
"Sorry for delay, Kpopiashop team are working to get your order ready","نعتذر على التأخير, يعمل فريق كيبوبية شوب على تخليص شحنتك و توصيلها فى أقرب وقت ممكن"
"<p style="color:#048ad4">Important notice for Twice Formula Of Love Album:</p> We apologize to you regarding your requests. There is a delay from the factory. The quantity was booked in 1 month. It was confirmed by the factory. We were notified that it will be shipped in the month of 2, but there was a delay until the end of the month 4 according to what the manufacturer said.",
"<p style="color:#048ad4">اشعار هام ل البوم Twice Formula Of Love:</p> نعتذر منكم بخصوص طلباتكم هناك تأخير من المصنع وتم حجز الكمية في شهر 1 وتم تأكيده من المصنع وتم اشعارنا انها سوف تنشحن في شهر 2 ولكن حصل تأجيل الى نهاية شهر 4 على حسب كلام المصنع
نكرر اعتذارنا ونشكركم على حسن صبركم ونود اعلامكم نسعى جاهدين لتوفير منتجاتكم في أسرع وقت ممكن"
"We are happy to receive your order! Our team is currently working on preparing your order. We will do our best to deliver it to you as soon as possible.","يسعدنا استقبال طلبك! فريقنا يعمل حاليًا على تجهيز طلبك. سنبذل قصارى جهدنا لإيصاله إليك في أسرع وقت ممكن."
"We appreciate your enthusiasm for this special album. Please note that this album has not been released by the manufacturer yet. We will ship your order as soon as it is released. We will send you another email once the shipment arrives with the delivery person, which we expect to be within two to three weeks after the release date.","نحن نقدر حماسك لتجربة هذا الالبوم المميز. يرجى العلم أن هذا الالبوم لم يتم إصداره من المصنع بعد. سنقوم بشحن طلبك فور صدوره، سنرسل لك رسالة إلكترونية أخرى فوروصول الشحنة مع المندوب، والذي نتوقع أن يكون خلال أسبوعين إلى ثلاثة أسابيع من بعد تاريخ الإصدار."
"We are currently processing your order with great care. Please note that the shipping process may take between two and three weeks. We will send you another email once the shipment leaves with the delivery person. If you have any questions, please do not hesitate to contact us.","نحن حاليًا نقوم بمعالجة طلبك بعناية فائقة. يرجى العلم أن عملية الشحن قد تستغرق ما بين أسبوعين وثلاثة أسابيع. سنرسل لك رسالة إلكترونية أخرى فور خروج الشحنة مع مندوب التوصيل. إذا كان لديك أي أسئلة، فلا تتردد في التواصل معنا."
"We appreciate your enthusiasm for this special album. Please note that this album has not been released by the manufacturer yet. We will ship your order as soon as it is released. We will send you another email once the shipment arrives with the delivery person, which we expect to be within two to three weeks after the release date."," نحن نقدر حماسك لتجربة هذا الالبوم المميز. يرجى العلم أن هذا الالبوم لم يتم إصداره من المصنع بعد. سنقوم بشحن طلبك فور صدوره، سنرسل لك رسالة إلكترونية أخرى فوروصول الشحنة مع المندوب، والذي نتوقع أن يكون خلال أسبوعين إلى ثلاثة أسابيع من بعد تاريخ الإصدار."
"We are pleased to inform you that all items in your order will be shipped together. Thank you for your patience and understanding.","نود إبلاغك سيتم شحن جميع المنتجات في طلبك مرة واحدة شكرًا لك على صبرك وتفهمك."
"We are currently processing your order with great care. Please note that the shipping process may take between two and three weeks. We will send you another email once the shipment leaves with the delivery person. If you have any questions, please do not hesitate to contact us.","نحن حاليًا نقوم بمعالجة طلبك بعناية فائقة. يرجى العلم أن عملية الشحن قد تستغرق ما بين أسبوعين وثلاثة أسابيع. سنرسل لك رسالة إلكترونية أخرى فور خروج الشحنة مع مندوب التوصيل. إذا كان لديك أي أسئلة، فلا تتردد في التواصل معنا."
"We are currently processing your order with great care. Please note that the shipping process may take between two and three weeks. We will send you another email once the shipment leaves with the delivery person. If you have any questions, please do not hesitate to contact us.","نحن حاليًا نقوم بمعالجة طلبك بعناية فائقة. يرجى العلم أن عملية الشحن قد تستغرق ما بين أسبوعين وثلاثة أسابيع. سنرسل لك رسالة إلكترونية أخرى فور خروج الشحنة مع مندوب التوصيل. إذا كان لديك أي أسئلة، فلا تتردد في التواصل معنا."
"Thank you for your patience and understanding. We know you're excited to receive your order, and so are we! Since our products are imported directly from Korea to ensure their quality and authenticity, shipping may take a little longer than usual. As a token of our appreciation for your patience, we would like to offer you a gift: a credit of [ 15 Riyal ] that you can use on your next order. We will notify you as soon as the shipment leaves with the delivery person.","نشكرك على صبرك وانتظارك. نعلم أنك متحمس لتلقي طلبك، ونحن كذلك! نظرًا لأن منتجاتنا تُستورد مباشرة من كوريا لضمان جودتها وأصالتها، قد يستغرق الشحن وقتًا أطول قليلاً مما هو معتاد. كتعبير عن شكرنا على صبرك، نود أن نقدم لك هدية: رصيد بقيمة [ 15 ريال ] يمكنك استخدامه في طلبك القادم. سنقوم بإبلاغك فور الشحنة مع المندوب."
"We would like to inform you that your order has left our warehouse and is now on its way to you. We expect your order to arrive within 3-5 business days.","نود أن نعلمك بأن طلبك قد غادر مستودعاتنا وهو الآن في طريقه إليك, نتوقع أن يصل طلبك خلال 3 -5 أيام عمل"
"We are sorry to inform you that your order has been returned to us. Please note that we have attempted to deliver your order multiple times, but unfortunately, it was not received. If you would like to reorder, please contact us at [team@kpopiashop.com] for more details.","نأسف لإبلاغك بأن طلبك قد عاد إلينا، يرجى العلم أننا حاولنا تسليم طلبك عدة مرات، ولكن للأسف لم يتم استلامه، إذا كنت ترغب في إعادة طلبك، يرجى التواصل معنا على [ team@kpopiashop.com ] لتقديم المزيد من التفاصيل."
"We need your help! Your order is on hold. Please contact us on WhatsApp at [+966570001626] or by email at [team@kpopiashop.com] to confirm your order details and complete the process.","نحن بحاجة لمساعدتك! طلبك قيد الانتظار. يرجى التواصل معنا على ألواتس اب رقم [+966570001626 ] أو البريد الإلكتروني [ team@kpopiashop.com ] لتأكيد تفاصيل طلبك واستكمال الإجراءات."
"We apologize for the cancellation of your order. If there has been any mistake, please contact us at [team@kpopiashop.com].","نأسف لإلغاء طلبك. إذا كان هناك أي خطأ، يرجى التواصل معنا على البريد الإلكتروني: [ team@kpopiashop.com ]."
"We need your help! Your order is on hold. Please contact us on WhatsApp at [+966570001626] or by email at [team@kpopiashop.com] to confirm your order details and complete the process.","نحن بحاجة لمساعدتك! طلبك قيد الانتظار. يرجى التواصل معنا على ألواتس اب رقم [+966570001626 ] أو البريد الإلكتروني [ team@kpopiashop.com ] لتأكيد تفاصيل طلبك واستكمال الإجراءات."
"Thank you! We are glad you received your order safely. Could you share your experience with us? Share a photo of your new products on your Instagram story and tag us @kpopiashop. We will repost your photo with all our followers. Thank you again.","شكراً لك! نحن سعداء لأنك استلمت طلبك بسلام. هل يمكنك مشاركة تجربتك معنا؟ شاركنا صورة لمنتجاتك الجديدة على ستوري انستجرام مع ذكرنا @kpopiashop سوف نعيد نشر صورتك مع جميع متابعينا. شكراً لك مرة أخرى."
"You can track your shipment using the following link: https://www.saee.sa/en/track-your-shipment?_token=yRHtuyBnvYMCTMQAhRoBOhulg71T23C4MjvDKKHu&waybill=OS07219230KS","10- يمكنك استخدام هذا الرابط لتتبع شحنتك: https://www.saee.sa/en/track-your-shipment?_token=yRHtuyBnvYMCTMQAhRoBOhulg71T23C4MjvDKKHu&waybill=OS07219230KS"
